#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-17T14:36:40 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-17T14:36:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/161/304/models&-order=I&-out=Cluster&-out=Mod&-out=W0/gamma&-out=E_W0/gamma&-out=e_W0/gamma&-out=r0pc&-out=E_r0pc&-out=e_r0pc&-out=Mtot&-out=E_Mtot&-out=e_Mtot&-out=sigp0&-out=vesc0&-out=Rad&-out=kappa1&-out=kappa2&-out=kappa3&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21610304
#Name: J/ApJS/161/304
#Title: Star clusters in the Milky Way and satellites (McLaughlin+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/apjs/161/304	    IVOID of underlying data collection
#INFO	creator=McLaughlin D.E.	    First author or institution
#INFO	cites=bibcode:2005ApJS..161..304M	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/161/304	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21610304	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_161_304_models:
#Name: J/ApJS/161/304/models
#Title: Results of models: basic fit parameters,  structural and dynamical parameters, radii and {kappa}-space parameters
#Column	Cluster	(a11)	Cluster name with galaxy prefix	[ucd=meta.id;meta.main]
#Column	Mod	(A2)	[KW PL] Model fit (G1)	[ucd=meta.id;stat.fit]
#Column	W0/gamma	(F5.2)	Dimensionless central potential (6)	[ucd=stat.fit.param]
#Column	E_W0/gamma	(F5.2)	Upper 1{sigma} error in WO	[ucd=stat.error;stat.max]
#Column	e_W0/gamma	(F5.2)	Lower 1{sigma} error in WO	[ucd=stat.error]
#Column	r0pc	(F7.3)	Scale radius in parsecs	[ucd=phys.size.radius;instr.scale]
#Column	E_r0pc	(F6.3)	Upper 1{sigma} error in r0pc	[ucd=stat.error;stat.max]
#Column	e_r0pc	(F6.3)	Lower 1{sigma} error in r0pc	[ucd=stat.error]
#Column	Mtot	(F5.2)	Log of total model mass	[ucd=phys.mass;meta.modelled]
#Column	E_Mtot	(F5.2)	Upper 1{sigma} error in Mtot	[ucd=stat.error;stat.max]
#Column	e_Mtot	(F5.2)	Lower 1{sigma} error in Mtot	[ucd=stat.error]
#Column	sigp0	(F5.2)	Velocity dispersion at R=0	[ucd=phys.veloc.dispersion]
#Column	vesc0	(F5.2)	Escape velocity at R=0	[ucd=phys.veloc.escape]
#Column	Rad	(F6.2)	Distance from center of parent galaxy (1)	[ucd=pos.distance]
#Column	kappa1	(F6.3)	kappa_1_ fundamental-plane parameter (2)	[ucd=stat.param]
#Column	kappa2	(F6.3)	kappa_2_ fundmental-plane parameter (2)	[ucd=stat.param]
#Column	kappa3	(F6.3)	kappa_3_ fundamental-plane parameter (2)	[ucd=stat.param]
Cluster	Mod	W0/gamma	E_W0/gamma	e_W0/gamma	r0pc	E_r0pc	e_r0pc	Mtot	E_Mtot	e_Mtot	sigp0	vesc0	Rad	kappa1	kappa2	kappa3
MW-NGC7089 	PL	 4.20	 0.05	 0.10	  1.960	 0.060	 0.120	 5.84	 0.04	 0.04	12.29	46.60	 10.34	-0.255	 5.067	 0.504
MW-NGC7089 	W 	 6.30	 0.10	 0.10	  1.360	 0.050	 0.050	 5.84	 0.04	 0.04	11.87	46.65	 10.34	-0.248	 4.976	 0.507
MW-NGC7492 	K 	 3.30	 0.30	 0.40	  8.410	 0.810	 0.550	 4.44	 0.04	 0.04	 1.43	 5.20	 24.89	-1.239	 2.193	 0.509
MW-NGC7492 	PL	 7.75	 0.85	 0.75	 14.760	 1.410	 1.360	 4.46	 0.04	 0.04	 1.48	 5.24	 24.89	-1.221	 2.218	 0.514
MW-NGC7492 	W 	 1.10	 0.60	 0.80	 15.710	14.970	 3.310	 4.45	 0.04	 0.04	 1.46	 5.22	 24.89	-1.229	 2.210	 0.512
MW-PAL1    	K 	11.10	 1.60	 1.10	  0.040	 0.020	 0.020	 3.67	 0.06	 0.05	 1.86	 8.99	 16.99	-1.628	 3.136	 0.711
MW-PAL1    	PL	 9.75	 9.05	 2.85	  5.040	 3.320	 1.530	 3.53	 0.05	 0.05	 0.97	 3.38	 16.99	-1.873	 2.330	 0.594
MW-PAL1    	W 	 0.10	 2.70	 0.00	 14.450	 0.000	12.170	 3.53	 0.06	 0.05	 0.98	 3.47	 16.99	-1.876	 2.368	 0.590
MW-PAL10   	K 	 7.20	 0.30	 0.30	  1.300	 0.090	 0.090	 5.74	 0.21	 0.21	 9.28	37.78	  6.45	-0.313	 4.335	 0.670
MW-PAL10   	PL	 3.20	 0.10	 0.10	  1.360	 0.120	 0.120	 6.12	 0.32	 0.25	 9.29	38.17	  6.45	 0.405	 2.575	 1.037
MW-PAL10   	W 	 7.40	 0.30	 0.40	  1.370	 0.110	 0.080	 5.86	 0.22	 0.22	 9.32	38.03	  6.45	-0.172	 4.031	 0.718
MW-PAL11   	K 	 2.40	 0.80	 0.90	  6.680	 2.270	 1.240	 5.70	 0.07	 0.07	 7.72	27.46	  7.94	-0.342	 4.062	 0.621
MW-PAL11   	PL	 8.50	 2.90	 1.75	 10.470	 2.860	 2.060	 5.71	 0.07	 0.07	 7.77	27.39	  7.94	-0.333	 4.057	 0.623
MW-PAL11   	W 	 0.10	 1.50	 0.00	 34.460	 0.000	26.210	 5.71	 0.07	 0.07	 7.76	27.54	  7.94	-0.337	 4.066	 0.621
MW-PAL12   	K 	13.20	 0.60	 0.30	  0.090	 0.010	 0.020	 3.75	 0.04	 0.04	 0.76	 3.96	 15.83	-1.600	 1.263	 0.646
MW-PAL12   	PL	 3.05	 0.10	 0.00	  0.170	 0.000	 0.000	 3.59	 0.04	 0.45	 0.73	 3.07	 15.83	 1.399	-7.604	 3.190
MW-PAL12   	W 	13.50	 0.50	 0.40	  0.080	 0.010	 0.010	 3.83	 0.04	 0.04	 0.75	 3.90	 15.83	-1.472	 0.931	 0.704
MW-PAL14   	K 	 4.30	 0.90	 1.00	 19.600	 4.070	 2.680	 4.09	 0.04	 0.04	 0.55	 2.05	 68.93	-1.497	 0.616	 0.503
MW-PAL14   	PL	 4.75	 1.10	 0.70	 25.530	 6.820	 4.910	 4.14	 0.07	 0.05	 0.56	 2.06	 68.93	-1.458	 0.564	 0.504
MW-PAL14   	W 	 3.80	 1.30	 1.60	 22.240	 8.530	 3.960	 4.11	 0.05	 0.04	 0.56	 2.06	 68.93	-1.483	 0.602	 0.503
MW-PAL2    	K 	 7.30	 1.40	 1.30	  0.770	 1.000	 0.490	 5.85	 0.16	 0.18	13.52	55.23	 35.35	-0.228	 5.190	 0.526
MW-PAL2    	PL	 4.00	 0.50	 0.35	  1.250	 1.030	 0.610	 6.03	 0.18	 0.19	17.86	68.42	 35.35	-0.115	 5.600	 0.518
MW-PAL2    	W 	 6.50	13.00	 1.10	  0.760	 0.980	 0.760	 6.00	 0.33	 0.22	18.32	72.44	 35.35	-0.131	 5.676	 0.521
MW-PAL3    	K 	 5.30	 0.40	 0.50	 10.680	 1.470	 1.120	 4.65	 0.04	 0.04	 1.26	 4.82	 95.94	-1.100	 1.703	 0.497
MW-PAL3    	PL	 4.55	 0.45	 0.35	 15.830	 2.620	 2.200	 4.69	 0.04	 0.04	 1.27	 4.75	 95.94	-1.069	 1.653	 0.502
MW-PAL3    	W 	 4.70	 0.60	 0.70	 12.490	 2.040	 1.540	 4.66	 0.04	 0.04	 1.27	 4.78	 95.94	-1.090	 1.688	 0.499
MW-PAL4    	K 	 4.50	 0.50	 0.60	 12.160	 2.540	 1.840	 4.58	 0.04	 0.04	 1.20	 4.48	111.75	-1.152	 1.673	 0.503
MW-PAL4    	PL	 6.35	 0.95	 0.75	 23.920	 4.600	 3.980	 4.57	 0.04	 0.04	 1.18	 4.24	111.75	-1.147	 1.618	 0.511
MW-PAL4    	W 	 2.80	 0.80	 1.00	 17.800	 6.440	 3.410	 4.57	 0.04	 0.04	 1.19	 4.34	111.75	-1.151	 1.645	 0.507
MW-PAL5    	K 	 2.10	 1.10	 1.20	 24.170	14.060	 5.400	 4.17	 0.04	 0.04	 0.73	 2.58	 18.61	-1.422	 1.054	 0.519
MW-PAL5    	PL	 7.90	 4.70	 1.95	 33.230	13.680	 7.390	 4.19	 0.04	 0.04	 0.73	 2.59	 18.61	-1.409	 1.044	 0.518
MW-PAL5    	W 	 0.10	 2.10	 0.00	116.410	 0.000	92.360	 4.18	 0.04	 0.04	 0.73	 2.58	 18.61	-1.417	 1.047	 0.518
MW-TERZAN7 	K 	 4.50	 0.90	 0.90	  3.890	 0.490	 0.340	 4.74	 0.07	 0.06	 2.55	 9.53	 16.00	-1.038	 2.973	 0.580
MW-TERZAN7 	PL	 4.50	 0.70	 0.65	  4.860	 0.740	 0.760	 4.80	 0.11	 0.07	 2.57	 9.63	 16.00	-0.991	 2.904	 0.582
MW-TERZAN7 	W 	 4.30	 1.30	 1.50	  4.210	 1.030	 0.520	 4.76	 0.08	 0.06	 2.56	 9.58	 16.00	-1.020	 2.946	 0.580
SMC-KRON3  	K 	 5.50	 0.20	 0.20	  6.760	 0.370	 0.380	 5.15	 0.06	 0.06	 2.74	10.51	  2.16	-0.749	 2.919	 0.370
SMC-KRON3  	PL	 5.10	 0.25	 0.15	 10.900	 0.800	 0.510	 5.12	 0.06	 0.06	 2.81	10.33	  2.16	-0.764	 2.989	 0.376
SMC-KRON3  	W 	 4.40	 0.30	 0.20	  8.190	 0.380	 0.560	 5.13	 0.06	 0.06	 2.78	10.42	  2.16	-0.759	 2.962	 0.373
SMC-NGC121 	K 	 5.70	 0.20	 0.30	  3.050	 0.170	 0.110	 5.57	 0.04	 0.04	 6.44	24.88	  2.48	-0.451	 4.062	 0.483
SMC-NGC121 	PL	 4.25	 0.20	 0.15	  4.180	 0.300	 0.230	 5.61	 0.04	 0.04	 6.58	24.88	  2.48	-0.416	 4.036	 0.490
SMC-NGC121 	W 	 5.30	 0.30	 0.30	  3.400	 0.170	 0.160	 5.59	 0.04	 0.04	 6.53	24.97	  2.48	-0.437	 4.061	 0.486
SMC-NGC152 	K 	 5.30	 0.40	 0.50	  7.970	 0.790	 0.530	 4.56	 0.09	 0.09	 1.31	 5.00	  1.55	-1.168	 2.444	 0.109
SMC-NGC152 	PL	 4.20	 0.40	 0.35	 10.230	 1.420	 1.290	 4.62	 0.10	 0.09	 1.32	 5.01	  1.55	-1.117	 2.364	 0.116
SMC-NGC152 	W 	 4.90	 0.70	 0.60	  8.920	 0.930	 0.890	 4.57	 0.09	 0.09	 1.32	 5.00	  1.55	-1.155	 2.431	 0.111
SMC-NGC176 	K 	 6.00	 0.50	 0.60	  2.260	 0.250	 0.180	 3.55	 0.13	 0.13	 0.70	 2.72	  1.33	-1.880	 2.769	-0.196
SMC-NGC176 	PL	 3.85	 0.40	 0.35	  2.810	 0.480	 0.440	 3.64	 0.16	 0.14	 0.71	 2.75	  1.33	-1.796	 2.640	-0.179
SMC-NGC176 	W 	 5.80	 0.80	 0.80	  2.470	 0.330	 0.260	 3.58	 0.14	 0.13	 0.71	 2.73	  1.33	-1.856	 2.743	-0.192
SMC-NGC330 	K 	 6.60	 0.30	 0.30	  2.490	 0.220	 0.210	 4.56	 0.15	 0.15	 1.93	 7.68	  0.47	-1.162	 4.023	-0.433
SMC-NGC330 	PL	 3.55	 0.15	 0.15	  2.960	 0.330	 0.340	 4.70	 0.16	 0.15	 1.96	 7.73	  0.47	-1.002	 3.706	-0.385
SMC-NGC330 	W 	 6.50	 0.40	 0.30	  2.720	 0.190	 0.250	 4.61	 0.15	 0.15	 1.95	 7.70	  0.47	-1.117	 3.951	-0.423
SMC-NGC339 	K 	 3.90	 1.10	 1.00	  9.650	 1.750	 1.260	 4.90	 0.07	 0.07	 2.11	 7.76	  1.76	-0.918	 2.660	 0.367
SMC-NGC339 	PL	 4.90	 1.35	 0.80	 12.210	 3.120	 2.160	 4.95	 0.10	 0.08	 2.11	 7.81	  1.76	-0.882	 2.603	 0.366
SMC-NGC339 	W 	 3.40	 1.50	 1.90	 10.960	 5.810	 1.970	 4.92	 0.08	 0.07	 2.11	 7.76	  1.76	-0.907	 2.639	 0.367
SMC-NGC361 	K 	 4.80	 1.20	 1.10	  7.930	 1.460	 1.090	 5.30	 0.10	 0.08	 3.28	12.32	  1.49	-0.645	 3.063	 0.410
SMC-NGC361 	PL	 4.00	 1.05	 0.60	  9.010	 2.940	 1.950	 5.41	 0.23	 0.12	 3.27	12.51	  1.49	-0.551	 2.880	 0.419
SMC-NGC361 	W 	 4.90	 1.60	 1.70	  8.330	 2.380	 1.360	 5.33	 0.14	 0.09	 3.28	12.42	  1.49	-0.617	 3.013	 0.410
SMC-NGC411 	K 	 6.50	 0.40	 0.40	  2.700	 0.320	 0.290	 4.47	 0.10	 0.10	 1.70	 6.74	  1.64	-1.226	 3.081	 0.120
SMC-NGC411 	PL	 3.60	 0.25	 0.20	  3.230	 0.560	 0.440	 4.60	 0.12	 0.11	 1.72	 6.78	  1.64	-1.088	 2.818	 0.159
SMC-NGC411 	W 	 6.40	 0.40	 0.50	  2.930	 0.350	 0.250	 4.51	 0.10	 0.10	 1.72	 6.78	  1.64	-1.184	 3.024	 0.129
SMC-NGC416 	K 	 4.30	 0.40	 0.40	  3.510	 0.250	 0.230	 5.21	 0.05	 0.05	 4.77	17.69	  1.29	-0.701	 3.992	 0.385
SMC-NGC416 	PL	 5.25	 0.45	 0.40	  5.040	 0.460	 0.440	 5.23	 0.05	 0.05	 4.83	17.68	  1.29	-0.682	 3.982	 0.388
SMC-NGC416 	W 	 3.50	 0.50	 0.70	  4.140	 0.580	 0.330	 5.22	 0.05	 0.05	 4.79	17.66	  1.29	-0.695	 3.989	 0.387
SMC-NGC458 	K 	 5.30	 0.50	 0.60	  3.580	 0.550	 0.410	 4.12	 0.11	 0.11	 1.17	 4.48	  2.22	-1.481	 3.126	-0.155
SMC-NGC458 	PL	 4.35	 0.50	 0.35	  4.910	 0.950	 0.720	 4.16	 0.12	 0.12	 1.18	 4.44	  2.22	-1.442	 3.060	-0.150
SMC-NGC458 	W 	 4.80	 0.70	 0.70	  4.110	 0.620	 0.530	 4.13	 0.12	 0.11	 1.18	 4.45	  2.22	-1.470	 3.108	-0.153

